Customer ID,Internal Obligor ID,Obligor Name,City,Country,Industry Code,Internal Risk Rating,Taxpayer ID (TIN),Stock Exchange,Ticker Symbol,CUSIP,Internal Credit Facility ID,Origination Date,Maturity Date,Credit Facility Type,Credit Facility Purpose,Loan Amount,Outstanding Balance,Interest Rate,Collateral Type,Loan Status,Payment Frequency,Currency,Loan Grade,Syndicated Loan Flag,Disposition Flag,Guarantor ID,Guarantor Name,Guarantor Rating,Loan to Value Ratio,Debt Service Coverage Ratio,Total Assets,Total Liabilities,EBITDA,Net Income,Total Revenue,Total Equity,Cash Flow,Interest Coverage Ratio,Loan Default Probability
9.20527E+13,f05b48d8-dbe1-40fe-93f7-927b760a1f11,"Phillips, Martin and Torres",Danielleport,BS,8317,A,373-55-4532,N/A,rFo,FKHpte,3b531ed9-6ace-4faf-8683-85598b2e2fd2,14-08-2024,25-02-2031,Term Loan,Acquisition,26629895.3,70799498.07,4.53,None,Closed,Annually,EUR,CCC,Yes,Retained,b9f97aa6-8245-46d9-9eea-24fe3d70f8de,Juarez-Jones,D,0.99,1.75,50399385.08,95469736.56,59033485.2,7797067.51,238515116,34200502.62,23820711.26,5.48,0.01
9.53844E+13,4c78e161-7f3e-4858-8569-63ded30ecb0f,"Armstrong, Griffith and Dickerson",West Justin,AO,3522,E,313-51-2957,LSE,nYQ,UZKcBa,b10f0d6a-b4ad-405c-9a4f-4f02119be381,18-02-2022,29-10-2033,Revolving,Working Capital,55748379.42,2783436.06,9.76,None,Closed,Monthly,EUR,B,Yes,Retained,eef807cf-9d5f-4f5c-91cd-116b1d2c1ef2,Hood-Cruz,B,1.37,2,435705344.2,47117668.95,80132376.18,7141931.68,319616293,156044133.2,21245173.43,3.1,0.1
8.52074E+13,d8eba8b3-4a74-472c-9c35-5e776788c5b1,"Liu, Weaver and Choi",Kimberlyfort,MD,9984,C,310-37-1725,NASDAQ,vmj,LpWDlN,9f03c0f0-d92d-4245-815c-53bdf1ca667e,20-06-2020,21-11-2034,Bridge Loan,Expansion,97602997.48,80537734.2,2.14,Equipment,Closed,Quarterly,GBP,A,Yes,Disposed,80fa2009-8fb3-48db-a114-3d01e35f4029,Carlson-Cole,B,0.8,2.38,403948022.4,8926425.41,86863480.34,1955854.73,451241665.5,160851816.4,7161645.8,1.06,0.08
9.93297E+13,d4cf2ac2-82e7-4ebc-b4be-efeecd8605fe,"Luna, Knapp and Powers",Port Nicholas,LK,6392,E,447-80-2607,NASDAQ,HYY,YoVYBg,d101c317-a06e-4a8f-8e63-d921c33b1a59,26-08-2023,19-11-2029,Bridge Loan,Expansion,19714396.46,39263759.32,2.9,Real Estate,Closed,Annually,INR,CCC,Yes,Retained,9b5c021d-a121-4ae0-9675-dcec92ad211f,"Perez, Smith and Davidson",A,1.36,2.9,92416015.06,213720317.6,59098537.91,6667902.48,22780570.2,100793798.8,10891482.19,9.06,0.2
3.86384E+13,ba43160f-9404-4e4d-b32a-855e8dfcc560,Clark-Oconnor,South Carolynmouth,JP,2999,A,705-09-9417,NASDAQ,EfQ,tXIESl,202d945b-3f59-4946-a1d0-1be5c8f89198,03-11-2024,02-12-2028,Term Loan,Refinancing,17232454.13,86223792.99,8.9,Equipment,Active,Quarterly,GBP,BB,No,Disposed,f4c91d34-bc75-4713-9c85-fccdad2546a7,Martinez-Burnett,A,0.83,2.52,133472482.2,294279690.6,70419654.54,4335752.01,391850032.4,123734826.9,8270642.73,3.86,0.28
8.21144E+13,6185f8a7-1161-4807-81be-01d3e12de6e9,Perry Inc,Martinfort,IS,1022,A,395-40-9958,NASDAQ,YUZ,gkvikH,9f25f5ef-eca1-41ed-9093-3fe8c43ec459,31-08-2023,26-04-2027,Revolving,Refinancing,15850912.22,76069643.35,10.18,Real Estate,Closed,Monthly,INR,CCC,No,Disposed,288d2a87-d2f6-4bd5-8f63-56091b8a5e49,"Smith, Lewis and Contreras",B,0.73,2.86,395983983,62424518.88,80765395.66,38633214.12,357587093,40729410.51,10211446.33,9.37,0.17
2.83457E+13,3ce9f12c-8d8e-476f-a81a-23db1c0b5213,Martinez Ltd,Michaelview,BA,6197,D,418-76-6498,LSE,hiq,JtrGcv,dd1633d7-0615-4304-964c-4545463a60ee,27-10-2021,07-01-2035,Other,Working Capital,36787659.22,73539555.18,5.12,Equipment,Active,Annually,INR,A,Yes,Retained,df651fd3-6953-4d4f-8c73-bd161afa7b37,"Mendez, Collins and Nguyen",D,1.03,1.22,66196202.67,355967893,99485689.37,12237839.84,337813878.6,78824972.5,13252269.4,6.08,0.17
3.76291E+13,dbb5bf9c-975c-4cf1-b493-cec80aa8c9dd,Davenport Inc,Jonesburgh,BE,7922,D,617-78-1101,LSE,jdE,YaJkhL,b2aadd4b-f034-4936-b1bc-0bc077f57756,16-06-2023,18-02-2030,Bridge Loan,Refinancing,98519519.33,83846458.68,6.55,None,Defaulted,Annually,GBP,BB,No,Disposed,1f3c32ae-2419-4b6a-93b5-8078ef799d45,Carey and Sons,B,1.08,1.43,58823388.81,267077344.9,30948149.11,1559826.73,309303560,41207930.04,20248808.13,3.24,0.26
9.7086E+13,52a7b687-d225-4232-ae5a-eaaf8b8bad60,"Little, Mckenzie and Peterson",Lake Angelaburgh,ZA,6692,B,386-70-8135,NASDAQ,eig,SLqEDn,65fd3920-b8e5-43d0-8f37-e5f5f4c93c37,09-02-2021,01-02-2033,Revolving,Working Capital,42032473.96,29561853.99,1.8,Inventory,Active,Quarterly,USD,AAA,Yes,Disposed,321b887d-cc20-413f-92eb-8908faa64961,"Ross, Sawyer and Yates",C,0.73,2.94,96668915.05,111763464.7,60854764.52,39425051.06,98905179.06,130101544.2,26070243.6,9.56,0.05
9.35201E+13,506db0c0-2dd2-4be7-830d-6fe28eb42310,"Watkins, Norman and Wilson",Port Patriciamouth,GA,9683,D,574-27-8910,N/A,zBu,TDevaN,793c4fa8-b710-42aa-9939-e7f3aa630ec9,12-10-2022,11-12-2034,Revolving,Working Capital,52123619.63,9059732.43,14.5,Inventory,Defaulted,Quarterly,INR,CCC,No,Disposed,acbb5892-6a51-4bb8-b41b-ae0e7dfee669,Davis PLC,D,1.23,1.38,99932314.88,197384284.9,88395987.16,5260089.67,79766751.74,14664603.47,12203249.8,6.11,0.03
